project_child_id,ref_age_class,ref_source,ref_source_ode,outcome
178051,EI,primary,Other,ia
178051,EI,primary,Physician/Clinic,ia
178051,ECSE,primary,Physician/Clinic,ia
178051,EI to KG,primary,Physician/Clinic,ia
178051,EI to KG,primary,Parents/Family,ia
178051,EI to KG,primary,Physician/Clinic,p
173230,EI,primary,Parents/Family,p
177320,EI,primary,Physician/Clinic,p
175905,EI,primary,Physician/Clinic,ia
175905,EI,primary,Physician/Clinic,ia
175905,EI,primary,Parents/Family,p
178748,EI,primary,Private Therapy,p
178748,ECSE,primary,Other DHS,p
179672,EI,primary,EHDI,p
177248,EI,primary,Physician/Clinic,ia
177248,EI,primary,Physician/Clinic,p
171805,EI,primary,Physician/Clinic,ia
171805,EI,primary,Physician/Clinic,ia
171805,EI,primary,Other,ia
171805,EI,primary,Other,p
174657,EI,primary,Physician/Clinic,ia
174657,EI,primary,Healthy Families Oregon,p
173216,EI,primary,Physician/Clinic,ia
173216,EI,primary,Other,ia
173216,EI,primary,Physician/Clinic,ia
173216,ECSE,primary,Physician/Clinic,ia
173216,EI to KG,primary,Childcare/Preschool,p
173824,EI,primary,Parents/Family,ia
173824,EI,primary,Other,ia
173824,EI to ECSE,primary,Parents/Family,p
174272,EI,primary,Hospital,ia
174272,EI,primary,Parents/Family,p
174272,EI,secondary,CAPTA,
177949,EI,primary,Hospital,ia
177949,EI,primary,Parents/Family,p
177949,EI,secondary,CAPTA,
177976,EI,primary,Private Therapy,p
171013,EI,primary,Physician/Clinic,ia
171013,ECSE,primary,Head Start,p
174603,EI,primary,Hospital,p
170291,EI,primary,Parents/Family,p
173877,EI,primary,Parents/Family,p
179458,EI,primary,Private Therapy,ia
179458,EI,primary,Other,ia
179458,ECSE,primary,Parents/Family,p
171762,EI,primary,Physician/Clinic,p
171044,EI,primary,Parents/Family,p
175583,EI,primary,Physician/Clinic,ia
175583,EI to KG,primary,Head Start,p
170604,EI,primary,Physician/Clinic,ia
170604,EI,primary,Parents/Family,ia
170604,ECSE,primary,Other,ia
170604,ECSE,primary,Parents/Family,p
171859,EI,primary,Physician/Clinic,ia
171859,EI to ECSE,primary,Physician/Clinic,ia
171859,ECSE,primary,Physician/Clinic,ia
171859,ECSE,primary,Physician/Clinic,p
173596,EI,primary,Parents/Family,p
177597,EI,primary,Parents/Family,ia
177597,EI,primary,Parents/Family,p
176775,EI,primary,Physician/Clinic,ia
176775,EI to KG,primary,Head Start,p
175416,EI,primary,Physician/Clinic,ia
175416,EI,primary,Parents/Family,ia
175416,EI,primary,Physician/Clinic,ia
175416,EI,primary,Other,p
172304,EI,primary,EHDI,ia
172304,EI,primary,Physician/Clinic,p
179481,EI,primary,Parents/Family,ia
179481,EI,primary,Parents/Family,ia
179481,ECSE,primary,Head Start,p
174754,EI,primary,Physician/Clinic,ia
174754,EI,primary,Parents/Family,ia
174754,EI to ECSE,primary,Other,ia
174754,ECSE,secondary,Physician/Clinic,
174754,ECSE,primary,Parents/Family,p
179003,EI,primary,Physician/Clinic,ia
179003,EI to ECSE,primary,Physician/Clinic,p
178426,EI,primary,Physician/Clinic,ia
178426,EI,primary,Physician/Clinic,p
179000,EI,primary,CAPTA,p
179000,EI,secondary,Physician/Clinic,
171643,EI,primary,Physician/Clinic,ia
171643,EI,primary,Physician/Clinic,ia
171643,EI,primary,Other,ia
171643,ECSE,primary,Parents/Family,p
172889,EI,primary,CAPTA,ia
172889,EI to KG,primary,Head Start,p
174757,EI,primary,CAPTA,p
175410,EI,primary,CAPTA,p
175410,EI,secondary,Physician/Clinic,
177704,EI,primary,Physician/Clinic,p
178092,EI,primary,Parents/Family,ia
178092,EI,primary,Parents/Family,p
179950,EI,primary,CAPTA,p
179950,ECSE,primary,Other DHS,p
179261,EI,primary,Physician/Clinic,p
179261,EI,secondary,CAPTA,
179261,EI,secondary,Physician/Clinic,
178972,EI,primary,Parents/Family,ia
178972,EI,primary,Parents/Family,ia
178972,EI,primary,Healthy Families Oregon,ia
178972,EI to ECSE,primary,Head Start,p
176395,EI,primary,Parents/Family,ia
176395,EI,primary,Parents/Family,p
175940,EI,primary,Parents/Family,p
175940,EI to KG,primary,Parents/Family,p
175629,EI,primary,CAPTA,ia
175629,EI,primary,Other,ia
175629,EI,primary,Physician/Clinic,ia
175629,EI,primary,Other,ia
175629,EI,primary,Other,p
170482,EI,primary,Hospital,ia
170482,EI,primary,Parents/Family,p
170482,ECSE,primary,Healthy Families Oregon,p
176044,EI,primary,Physician/Clinic,ia
176044,EI,primary,Physician/Clinic,ia
176044,EI to ECSE,primary,Parents/Family,p
176044,EI to ECSE,secondary,Physician/Clinic,
172272,EI,primary,Physician/Clinic,ia
172272,EI,primary,Parents/Family,p
172272,ECSE,primary,Physician/Clinic,ia
172272,EI to KG,primary,Head Start,p
171918,EI,primary,Parents/Family,ia
171918,EI,primary,Other,p
177437,EI,primary,Physician/Clinic,p
177437,EI,secondary,Public Health,
177437,EI,secondary,Hospital,
170552,EI,primary,Physician/Clinic,ia
170552,EI,primary,Move in from another state,p
171226,EI,primary,Physician/Clinic,ia
171226,EI,primary,Parents/Family,ia
171226,EI to ECSE,primary,Other,ia
171226,EI to ECSE,primary,Other,ia
171226,ECSE,primary,Parents/Family,p
173441,EI,primary,Parents/Family,ia
173441,EI,primary,Other,ia
173441,ECSE,primary,Parents/Family,p
176767,EI,primary,CAPTA,p
176767,EI,secondary,Physician/Clinic,
175991,EI,primary,Parents/Family,ia
175991,EI,primary,Other,p
176560,EI,primary,CAPTA,ia
176560,EI,primary,CAPTA,ia
176560,EI,primary,Parents/Family,p
176560,EI to ECSE,secondary,Other DHS,
176560,ECSE,primary,Other DHS,p
175615,EI,primary,Physician/Clinic,ia
175615,EI,primary,Other,ia
175615,EI to ECSE,primary,Physician/Clinic,ia
175615,EI to KG,primary,Physician/Clinic,ia
175615,EI to KG,primary,Parents/Family,p
178396,EI,primary,Physician/Clinic,p
176348,EI,primary,EHDI,p
173362,EI,primary,Parents/Family,p
173362,ECSE,primary,Other DHS,ia
173362,ECSE,primary,Other DHS,p
178095,EI,primary,Parents/Family,p
170569,EI,primary,Hospital,p
174003,EI,primary,Parents/Family,ia
174003,EI,primary,Parents/Family,ia
174003,EI,primary,Parents/Family,p
174003,ECSE,primary,Head Start,p
175788,EI,primary,Parents/Family,ia
175788,EI,primary,Other,ia
175788,ECSE,primary,Other,p
175223,EI,primary,Parents/Family,p
175223,EI,secondary,CAPTA,
172840,EI,primary,Physician/Clinic,p
170959,EI,primary,Parents/Family,ia
170959,ECSE,primary,Childcare/Preschool,p
172855,EI,primary,Other EI/ECSE program,p
172855,ECSE,secondary,Physician/Clinic,
177775,EI,primary,Physician/Clinic,ia
177775,EI,primary,CAPTA,ia
177775,EI,primary,CAPTA,ia
177775,ECSE,primary,Other,ia
177775,ECSE,primary,Other,p
177869,EI,primary,Physician/Clinic,ia
177869,ECSE,primary,Physician/Clinic,p
179418,EI,primary,Parents/Family,p
179418,ECSE,primary,Childcare/Preschool,p
177988,EI,primary,Physician/Clinic,ia
177988,EI,primary,Parents/Family,p
174790,EI,primary,CAPTA,p
174790,EI,secondary,EHDI,
173393,EI,primary,CAPTA,ia
173393,EI,primary,CAPTA,ia
173393,EI,primary,Other,ia
173393,EI,primary,Parents/Family,ia
173393,EI to ECSE,primary,Other,ia
173393,ECSE,primary,Childcare/Preschool,p
176656,EI,primary,CAPTA,ia
176656,EI,primary,CAPTA,ia
176656,EI,primary,Other,ia
176656,EI,primary,Parents/Family,ia
176656,EI to ECSE,primary,Other,ia
176656,ECSE,primary,Childcare/Preschool,p
178788,EI,primary,Move in from another state,p
170948,EI,primary,Physician/Clinic,p
176530,EI,primary,Physician/Clinic,ia
176530,EI,primary,Parents/Family,p
171756,EI,primary,Physician/Clinic,ia
171756,EI,primary,Physician/Clinic,ia
171756,ECSE,primary,Other,p
176163,EI,primary,Hospital,p
176163,EI,secondary,Physician/Clinic,
176163,EI,secondary,CAPTA,
176393,EI,primary,Physician/Clinic,ia
176393,ECSE,primary,Head Start,p
174396,EI,primary,CAPTA,ia
174396,EI,primary,CAPTA,ia
174396,EI to ECSE,primary,CAPTA,ia
174396,ECSE,primary,Head Start,p
174396,EI to KG,secondary,Physician/Clinic,
179117,EI,primary,Hospital,p
172988,EI,primary,Parents/Family,p
172988,EI,secondary,CAPTA,
172988,EI,secondary,Physician/Clinic,
175837,EI,primary,Physician/Clinic,ia
175837,EI to ECSE,primary,Parents/Family,p
171746,EI,primary,Physician/Clinic,ia
171746,ECSE,primary,Parents/Family,p
176417,EI,primary,Physician/Clinic,ia
176417,EI,primary,Physician/Clinic,ia
176417,ECSE,primary,Healthy Families Oregon,ia
176417,ECSE,primary,Parents/Family,ia
176417,ECSE,primary,Head Start,p
176855,EI,primary,Physician/Clinic,ia
176855,EI,primary,Other,ia
176855,EI,primary,Head Start,p
170637,EI,primary,Parents/Family,ia
170637,ECSE,primary,Parents/Family,ia
170637,ECSE,primary,Other,ia
170637,EI to KG,primary,Other,ia
170637,EI to KG,primary,Other,p
179116,EI,primary,CAPTA,ia
179116,EI,primary,Physician/Clinic,p
179116,EI,secondary,Physician/Clinic,
177880,EI,primary,Physician/Clinic,ia
177880,EI,primary,Other,p
177880,EI,secondary,Physician/Clinic,
178477,EI,primary,Parents/Family,ia
178477,ECSE,primary,Other,ia
178477,ECSE,primary,Parents/Family,p
178477,ECSE,secondary,Physician/Clinic,
170187,EI,primary,Physician/Clinic,ia
170187,EI,primary,Parents/Family,ia
170187,ECSE,primary,Parents/Family,p
172368,EI,primary,Hospital,p
172368,ECSE,primary,Parents/Family,p
170424,EI,primary,Childcare/Preschool,ia
170424,EI,primary,Parents/Family,ia
170424,ECSE,primary,Head Start,p
176041,EI,primary,Physician/Clinic,ia
176041,ECSE,primary,Parents/Family,p
176017,EI,primary,Physician/Clinic,ia
176017,ECSE,primary,Parents/Family,p
170970,EI,primary,Physician/Clinic,ia
170970,EI,primary,Parents/Family,ia
170970,ECSE,primary,Head Start,p
171955,EI,primary,Physician/Clinic,p
172193,EI,primary,Hospital,p
178295,EI,primary,Other,p
176725,EI,primary,Physician/Clinic,ia
176725,EI to ECSE,primary,Parents/Family,p
176725,ECSE,primary,Parents/Family,p
171147,EI,primary,Parents/Family,ia
171147,EI to ECSE,primary,Parents/Family,p
176951,EI,primary,CAPTA,ia
176951,EI,primary,Parents/Family,p
175237,EI,primary,Parents/Family,ia
175237,EI,primary,Other,p
170769,EI,primary,Parents/Family,p
177229,EI,primary,Healthy Families Oregon,p
177229,EI,secondary,Hospital,
177229,ECSE,secondary,Other DHS,
178786,EI,primary,Parents/Family,p
174627,EI,primary,Other EI/ECSE program,p
170233,EI,primary,Parents/Family,ia
170233,EI to ECSE,primary,Other,p
171966,EI,primary,Parents/Family,ia
171966,EI,primary,Parents/Family,p
178831,EI,primary,Physician/Clinic,p
171657,EI,primary,EHDI,p
175795,EI,primary,Hospital,p
175795,ECSE,primary,Other DHS,p
179631,EI,primary,Physician/Clinic,p
179631,EI,secondary,Physician/Clinic,
175240,EI,primary,Physician/Clinic,ia
175240,ECSE,primary,Parents/Family,ia
175240,ECSE,primary,Other,ia
175240,ECSE,primary,Physician/Clinic,p
175564,EI,primary,Public Health,ia
175564,EI,primary,Parents/Family,ia
175564,EI,primary,Physician/Clinic,p
175564,EI,secondary,EHDI,
173293,EI,primary,Physician/Clinic,ia
173293,EI,primary,Physician/Clinic,p
178196,EI,primary,Physician/Clinic,ia
178196,ECSE,primary,Parents/Family,ia
178196,ECSE,primary,Parents/Family,p
174218,EI,primary,Move in from another state,p
177657,EI,primary,CAPTA,p
177657,ECSE,primary,Head Start,p
170144,EI,primary,CAPTA,p
170144,ECSE,primary,Head Start,p
177953,EI,primary,EHDI,ia
177953,EI,primary,Parents/Family,p
177953,EI,secondary,Physician/Clinic,
170446,EI,primary,Physician/Clinic,ia
170446,ECSE,primary,Physician/Clinic,p
177684,EI,primary,Physician/Clinic,ia
177684,EI,primary,Other,p
172907,EI,primary,Physician/Clinic,ia
172907,ECSE,primary,Physician/Clinic,p
171375,EI,primary,Physician/Clinic,ia
171375,EI,primary,Parents/Family,ia
171375,EI,primary,Other,ia
171375,ECSE,primary,Physician/Clinic,p
174500,EI,primary,Physician/Clinic,ia
174500,EI,primary,Parents/Family,ia
174500,EI,primary,Other,ia
174500,ECSE,primary,Physician/Clinic,p
173137,EI,primary,Physician/Clinic,p
173137,ECSE,primary,Parents/Family,p
174528,EI,primary,Parents/Family,ia
174528,EI to ECSE,primary,Parents/Family,p
179357,EI,primary,Parents/Family,p
179357,EI,secondary,Physician/Clinic,
175508,EI,primary,Parents/Family,p
175508,EI to KG,primary,Parents/Family,p
179287,EI,primary,Parents/Family,ia
179287,EI,primary,Physician/Clinic,p
175192,EI,primary,Parents/Family,p
179391,EI,primary,Parents/Family,p
179234,EI,primary,Hospital,p
179089,EI,primary,Physician/Clinic,ia
179089,EI,primary,Childcare/Preschool,p
179089,EI,secondary,Physician/Clinic,
179089,EI to KG,secondary,Physician/Clinic,
179502,EI,primary,Physician/Clinic,ia
179502,ECSE,primary,Childcare/Preschool,p
172319,EI,primary,Physician/Clinic,ia
172319,EI,primary,Other,ia
172319,ECSE,primary,Parents/Family,ia
172319,ECSE,primary,Head Start,p
173809,EI,primary,Private Therapy,p
173809,EI to ECSE,primary,Parents/Family,p
173809,ECSE,secondary,Physician/Clinic,
170320,EI,primary,Private Therapy,ia
170320,EI,primary,Parents/Family,p
170320,EI,secondary,CAPTA,
172828,EI,primary,Physician/Clinic,ia
172828,EI,primary,Physician/Clinic,ia
172828,ECSE,primary,Head Start,p
178043,EI,primary,Other EI/ECSE program,p
177531,EI,primary,Public Health,p
177531,EI,secondary,CAPTA,
173895,EI,primary,Physician/Clinic,ia
173895,ECSE,primary,Healthy Families Oregon,p
178439,EI,primary,Physician/Clinic,ia
178439,EI,primary,Other,p
178439,ECSE,primary,Parents/Family,p
177910,EI,primary,Physician/Clinic,ia
177910,ECSE,primary,Physician/Clinic,ia
177910,ECSE,primary,Parents/Family,ia
177910,EI to KG,primary,Head Start,p
172238,EI,primary,Physician/Clinic,p
170932,EI,primary,Physician/Clinic,ia
170932,EI,primary,Other,p
172481,EI,primary,Move in from another state,p
176827,EI,primary,Physician/Clinic,p
174624,EI,primary,CAPTA,ia
174624,ECSE,primary,Parents/Family,ia
174624,ECSE,primary,Parents/Family,p
172783,EI,primary,CAPTA,p
175480,EI to ECSE,primary,Parents/Family,p
170311,EI,primary,Parents/Family,ia
170311,EI to ECSE,primary,Parents/Family,p
176721,EI,primary,Physician/Clinic,ia
176721,ECSE,primary,Parents/Family,p
171839,EI,primary,Physician/Clinic,ia
171839,EI,primary,Parents/Family,p
178008,EI,primary,EHDI,p
179485,EI,primary,Move in from another state,p
171811,EI,primary,Parents/Family,ia
171811,ECSE,primary,Parents/Family,p
173043,EI,primary,Healthy Families Oregon,ia
173043,EI,primary,Public Health,ia
173043,EI,primary,Other,p
177803,EI,primary,Physician/Clinic,ia
177803,EI,primary,Parents/Family,p
184979,EI,primary,Physician/Clinic,ia
184979,EI,primary,Physician/Clinic,ia
184979,EI,primary,Physician/Clinic,ia
184979,EI,primary,Parents/Family,p
182393,EI,primary,Physician/Clinic,ia
182393,EI,primary,Physician/Clinic,ia
182393,EI,primary,Physician/Clinic,p
182393,ECSE,primary,Parents/Family,p
187737,EI,primary,Hospital,ia
187737,EI,primary,Physician/Clinic,ia
187737,EI,primary,Physician/Clinic,ia
187737,ECSE,primary,Head Start,p
180395,EI,primary,Physician/Clinic,ia
180395,EI,primary,Other,ia
180395,EI,primary,Other,ia
180395,ECSE,primary,Physician/Clinic,ia
180395,ECSE,primary,Childcare/Preschool,p
183271,EI,primary,Physician/Clinic,ia
183271,EI to ECSE,primary,Parents/Family,p
185688,EI,primary,Physician/Clinic,p
180243,EI,primary,CAPTA,ia
180243,EI,primary,Parents/Family,ia
180243,EI,primary,Other,ia
180243,EI,primary,Other,ia
180243,ECSE,primary,Head Start,p
186410,EI,primary,Parents/Family,ia
186410,ECSE,primary,Parents/Family,ia
186410,ECSE,primary,Head Start,p
181365,EI,primary,Physician/Clinic,ia
181365,EI,primary,Other,p
188924,EI,primary,EHDI,p
185673,EI,primary,Physician/Clinic,ia
185673,ECSE,primary,Physician/Clinic,p
183943,EI,primary,Physician/Clinic,ia
183943,EI to ECSE,primary,Parents/Family,p
186577,EI,primary,Physician/Clinic,ia
186577,EI to KG,primary,Head Start,p
189073,EI,primary,Parents/Family,ia
189073,ECSE,primary,Physician/Clinic,p
180754,EI,primary,CAPTA,p
186875,EI,primary,Healthy Families Oregon,ia
186875,EI,primary,Childcare/Preschool,p
181847,EI,primary,Healthy Families Oregon,ia
181847,EI,primary,Childcare/Preschool,ia
181847,ECSE,primary,Other,ia
181847,ECSE,primary,Childcare/Preschool,p
189011,EI,primary,Physician/Clinic,ia
189011,EI,primary,Parents/Family,p
181048,EI,primary,Parents/Family,p
181048,EI,secondary,CAPTA,
188420,EI,primary,Other EI/ECSE program,p
189961,EI,primary,CAPTA,ia
189961,EI,primary,CAPTA,ia
189961,EI,primary,Physician/Clinic,ia
189961,EI,primary,Healthy Families Oregon,p
189961,EI to ECSE,primary,Healthy Families Oregon,ia
189303,EI,primary,Physician/Clinic,ia
189303,EI,primary,Parents/Family,p
187571,EI,primary,Physician/Clinic,ia
187571,ECSE,primary,Head Start,p
187479,EI to ECSE,primary,Physician/Clinic,ia
187479,ECSE,primary,Childcare/Preschool,p
185913,EI,primary,Physician/Clinic,ia
185913,EI,primary,Physician/Clinic,p
181305,EI,primary,Parents/Family,p
181305,ECSE,secondary,Other DHS,
184095,EI,primary,CAPTA,ia
184095,EI,primary,CAPTA,ia
184095,EI,primary,CAPTA,p
184095,EI,secondary,EHDI,
187328,EI,primary,Parents/Family,ia
187328,EI to ECSE,primary,Parents/Family,p
187328,ECSE,secondary,Physician/Clinic,
183111,EI,primary,Physician/Clinic,p
180550,EI,primary,CAPTA,ia
180550,ECSE,primary,Head Start,p
181074,EI,primary,Parents/Family,ia
181074,ECSE,primary,Parents/Family,p
181382,EI,primary,Other,ia
181382,EI,primary,Parents/Family,p
187584,EI,primary,Physician/Clinic,ia
187584,EI,primary,Other,ia
187584,EI,primary,Other,p
184828,EI,primary,Physician/Clinic,ia
184828,ECSE,primary,Parents/Family,p
184828,ECSE,secondary,Physician/Clinic,
185738,EI,primary,Physician/Clinic,p
189125,EI,primary,Physician/Clinic,ia
189125,EI,primary,Other,ia
189125,EI,primary,Other,p
181709,EI,primary,Parents/Family,ia
181709,ECSE,primary,Parents/Family,ia
181709,ECSE,primary,Other,p
187888,EI,primary,Physician/Clinic,ia
187888,EI,primary,Other,ia
187888,EI,primary,Physician/Clinic,p
188839,EI,primary,Parents/Family,ia
188839,EI,primary,Parents/Family,p
188839,EI,secondary,Physician/Clinic,
187039,EI,primary,Physician/Clinic,ia
187039,EI to ECSE,primary,Physician/Clinic,p
181897,EI,primary,Parents/Family,ia
181897,EI,secondary,Physician/Clinic,
181897,EI,primary,Other,p
181153,EI,primary,Parents/Family,p
181153,EI,secondary,CAPTA,
181153,ECSE,primary,Parents/Family,p
182899,EI,primary,Physician/Clinic,p
182899,EI,primary,Parents/Family,p
182899,EI,primary,Parents/Family,p
186626,EI,primary,Physician/Clinic,p
186626,EI,secondary,CAPTA,
182657,EI,primary,CAPTA,ia
182657,EI,primary,Physician/Clinic,p
182853,EI to ECSE,primary,Parents/Family,ia
182853,ECSE,primary,Childcare/Preschool,p
182175,EI to ECSE,primary,Parents/Family,p
189311,EI,primary,Hospital,p
189311,EI,secondary,Physician/Clinic,
189311,ECSE,secondary,Physician/Clinic,
187524,EI,primary,Physician/Clinic,ia
187524,EI,primary,Physician/Clinic,ia
187524,EI,primary,Physician/Clinic,ia
187524,ECSE,primary,Physician/Clinic,p
187524,ECSE,primary,Parents/Family,p
180086,EI,primary,Parents/Family,p
182041,EI,primary,Parents/Family,p
182041,ECSE,primary,Parents/Family,p
186783,EI,primary,Parents/Family,p
188375,EI,primary,Parents/Family,p
188050,EI,primary,Parents/Family,p
188050,EI,secondary,Physician/Clinic,
185584,EI,primary,Physician/Clinic,ia
185584,EI,primary,Parents/Family,ia
185584,EI,primary,Parents/Family,p
183453,EI,primary,Physician/Clinic,p
183453,ECSE,primary,Parents/Family,ia
183453,EI to KG,primary,Physician/Clinic,ia
180882,EI,primary,Hospital,ia
180882,EI,primary,Parents/Family,p
184159,EI to ECSE,primary,Parents/Family,ia
184159,ECSE,primary,Parents/Family,p
184474,EI,primary,Parents/Family,p
184611,EI,primary,Parents/Family,ia
184611,EI,secondary,Physician/Clinic,
184611,ECSE,primary,Parents/Family,ia
184611,ECSE,secondary,Physician/Clinic,
184611,ECSE,primary,Other,p
185727,EI,primary,Physician/Clinic,ia
185727,EI to ECSE,primary,Other,p
186567,EI,primary,Physician/Clinic,p
186567,EI to ECSE,primary,Physician/Clinic,p
186567,ECSE,secondary,Healthy Families Oregon,
186567,ECSE,secondary,Physician/Clinic,
187461,EI,primary,Physician/Clinic,ia
187461,ECSE,primary,Physician/Clinic,p
186141,EI,primary,Physician/Clinic,ia
186141,EI,primary,Parents/Family,p
186141,ECSE,primary,Parents/Family,ia
184872,EI,primary,Physician/Clinic,ia
184872,EI,primary,Parents/Family,p
187714,EI,primary,Physician/Clinic,p
188605,EI,primary,Physician/Clinic,ia
188605,EI,primary,Physician/Clinic,ia
188605,ECSE,primary,Physician/Clinic,p
188605,ECSE,secondary,Parents/Family,
182692,EI,primary,Hospital,p
182692,EI,secondary,Physician/Clinic,
182704,EI to ECSE,primary,Physician/Clinic,p
184353,EI to ECSE,primary,Parents/Family,p
182836,EI,primary,Healthy Families Oregon,p
180355,EI,primary,Other,ia
180355,EI to ECSE,primary,Other,p
180355,ECSE,secondary,Physician/Clinic,
180398,ECSE,primary,Physician/Clinic,p
180398,EI to ECSE,primary,Parents/Family,ia
186726,EI,primary,Hospital,ia
186726,EI,primary,Parents/Family,p
181426,EI,primary,Hospital,p
181426,EI,primary,Public Health,ia
181426,EI,primary,Physician/Clinic,p
181426,EI,secondary,Physician/Clinic,
183289,EI,primary,Physician/Clinic,ia
183289,ECSE,primary,Other DHS,ia
183289,ECSE,primary,Physician/Clinic,p
187109,EI,primary,Physician/Clinic,ia
187109,EI,primary,Other,p
189715,EI,primary,Physician/Clinic,ia
189715,EI to KG,primary,Head Start,p
186423,EI,primary,Parents/Family,p
185184,EI,primary,Physician/Clinic,p
185184,ECSE,primary,Parents/Family,p
185184,ECSE,secondary,Physician/Clinic,
185504,EI to ECSE,primary,Physician/Clinic,p
180650,EI,primary,Hospital,p
188574,EI,primary,Physician/Clinic,ia
188574,ECSE,primary,Other DHS,p
181553,EI,primary,Physician/Clinic,ia
181553,EI,primary,Parents/Family,p
181553,ECSE,primary,Parents/Family,ia
181553,ECSE,primary,Parents/Family,p
184271,EI,primary,CAPTA,p
184271,ECSE,primary,Parents/Family,ia
180181,EI,primary,CAPTA,ia
180181,EI,primary,Other,p
180181,EI to KG,secondary,Other DHS,
184197,EI,primary,CAPTA,p
184197,ECSE,secondary,Other DHS,
186803,EI,primary,CAPTA,p
186803,ECSE,primary,Other,p
189049,EI,primary,CAPTA,ia
189049,EI,primary,Other,ia
189049,EI,primary,Other,ia
189049,EI,primary,Head Start,ia
189049,EI to ECSE,primary,Head Start,p
184924,EI,primary,Hospital,p
184155,EI to ECSE,primary,Parents/Family,p
188507,EI,primary,Physician/Clinic,ia
188507,EI,primary,Parents/Family,ia
188507,EI,primary,Parents/Family,ia
188507,EI to ECSE,primary,Parents/Family,p
180799,EI,primary,Physician/Clinic,ia
180799,EI to KG,primary,Parents/Family,p
181191,EI,primary,Physician/Clinic,p
183710,EI,primary,Parents/Family,ia
183710,EI,primary,CAPTA,p
183710,EI,secondary,CAPTA,
186902,ECSE,primary,Physician/Clinic,p
182044,ECSE,primary,Other,p
183719,EI,primary,Physician/Clinic,p
183719,EI,secondary,CAPTA,
181603,EI to ECSE,primary,Other EI/ECSE program,p
181612,EI,primary,Physician/Clinic,ia
181612,EI,primary,Physician/Clinic,ia
181612,EI,primary,Other,p
181612,ECSE,secondary,Physician/Clinic,
180909,EI,primary,Physician/Clinic,ia
180909,EI,primary,Parents/Family,ia
180909,ECSE,primary,Other,p
187486,EI,primary,Parents/Family,p
185113,EI,primary,Parents/Family,p
184258,EI,primary,Physician/Clinic,ia
184258,EI,primary,Parents/Family,p
184290,EI,primary,Healthy Families Oregon,p
184290,ECSE,secondary,Other DHS,
187831,EI,primary,Childcare/Preschool,p
187754,EI,primary,Parents/Family,p
180176,EI,primary,Parents/Family,ia
180176,EI,primary,Other,ia
180176,EI to ECSE,primary,Parents/Family,p
180176,EI,primary,Physician/Clinic,ia
182822,EI,primary,Physician/Clinic,ia
182822,EI,primary,Physician/Clinic,p
182822,ECSE,primary,Other,ia
182822,ECSE,secondary,Physician/Clinic,
184784,EI,primary,Other,ia
184784,EI,primary,Other,ia
184784,EI,primary,Other,p
184784,EI,primary,Physician/Clinic,ia
180413,EI,primary,Parents/Family,p
184705,EI,primary,Healthy Families Oregon,ia
184705,EI,primary,Healthy Families Oregon,ia
184705,EI to ECSE,primary,Healthy Families Oregon,p
186828,ECSE,primary,Physician/Clinic,p
188700,EI,primary,Physician/Clinic,ia
188700,EI,primary,Parents/Family,p
188700,ECSE,secondary,CAPTA,
182597,ECSE,primary,Parents/Family,p
185326,EI,primary,Hospital,p
186833,EI,primary,Physician/Clinic,ia
186833,EI,primary,Physician/Clinic,ia
186833,EI,primary,Physician/Clinic,ia
186833,EI,primary,Parents/Family,p
184546,EI,primary,Parents/Family,p
183220,EI,primary,Hospital,p
183220,ECSE,primary,Other,ia
183578,ECSE,primary,Physician/Clinic,ia
183578,ECSE,primary,Physician/Clinic,ia
183578,ECSE,primary,Parents/Family,p
180764,EI,primary,Physician/Clinic,ia
180764,EI,primary,Healthy Families Oregon,p
189315,EI,primary,Physician/Clinic,ia
189315,EI,primary,Other,ia
189315,ECSE,primary,Physician/Clinic,ia
189315,EI to KG,primary,Head Start,p
180037,EI,primary,Physician/Clinic,ia
180037,EI,primary,Other,p
180037,EI,secondary,Physician/Clinic,
185048,EI,primary,Parents/Family,p
183859,EI,primary,Hospital,p
183859,EI,secondary,EHDI,
182554,EI,primary,Public Health,p
182554,ECSE,primary,Head Start,ia
185362,EI,primary,Physician/Clinic,ia
185362,ECSE,primary,Parents/Family,p
182060,EI,primary,Physician/Clinic,ia
182060,EI,primary,Other,p
182060,EI,secondary,Physician/Clinic,
184019,EI,primary,Parents/Family,p
184019,ECSE,primary,Parents/Family,p
186154,EI,primary,Other,ia
186154,ECSE,primary,Other,p
185496,EI,primary,Hospital,p
185496,ECSE,primary,Other,ia
186069,EI,primary,Parents/Family,p
183925,EI,primary,CAPTA,ia
183925,EI,primary,Physician/Clinic,ia
183925,ECSE,primary,Parents/Family,p
183015,EI,primary,Physician/Clinic,ia
183015,EI,primary,Other,p
183015,ECSE,primary,Childcare/Preschool,p
183874,ECSE,primary,Physician/Clinic,p
183874,ECSE,secondary,Physician/Clinic,
181139,ECSE,primary,Parents/Family,ia
181139,ECSE,secondary,Physician/Clinic,
181139,ECSE,primary,Parents/Family,p
182649,EI,primary,Physician/Clinic,ia
182649,EI,primary,Physician/Clinic,ia
182649,EI to ECSE,primary,Other,ia
182649,EI to KG,primary,Head Start,p
188144,EI,primary,Physician/Clinic,ia
188144,EI to ECSE,primary,Other,ia
188144,ECSE,primary,Parents/Family,p
189834,EI,primary,Parents/Family,ia
189834,EI to ECSE,primary,Parents/Family,p
183590,EI,primary,Parents/Family,ia
183590,EI to KG,primary,Parents/Family,p
